project,description,version,developers,url,year,licenses,license urls,dependency
Android Arch-Common,Android Arch-Common,2.0.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-common:2.0.0
Android Arch-Runtime,Android Arch-Runtime,2.0.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-runtime:2.0.0
Android Lifecycle LiveData,Android Lifecycle LiveData,2.0.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata:2.0.0
Android Lifecycle LiveData Core,Android Lifecycle LiveData Core,2.0.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata-core:2.0.0
Android Lifecycle Runtime,Android Lifecycle Runtime,2.0.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime:2.0.0
Android Lifecycle ViewModel,Android Lifecycle ViewModel,2.0.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel:2.0.0
Android Lifecycle-Common,Android Lifecycle-Common,2.0.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-common:2.0.0
Android Support Library Annotations,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs.,1.1.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2013,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation:1.1.0
Android Support Library Async Layout Inflater,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.asynclayoutinflater:asynclayoutinflater:1.0.0
Android Support Library collections,Standalone efficient collections.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.collection:collection:1.0.0
Android Support Library compat,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core:1.2.0
Android Support Library Coordinator Layout,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.coordinatorlayout:coordinatorlayout:1.0.0
Android Support Library core UI,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.legacy:legacy-support-core-ui:1.0.0
Android Support Library core utils,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.legacy:legacy-support-core-utils:1.0.0
Android Support Library Cursor Adapter,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.cursoradapter:cursoradapter:1.0.0
Android Support Library Custom View,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.customview:customview:1.0.0
Android Support Library Custom View,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.swiperefreshlayout:swiperefreshlayout:1.0.0
Android Support Library Document File,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.documentfile:documentfile:1.0.0
Android Support Library Drawer Layout,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.drawerlayout:drawerlayout:1.0.0
Android Support Library fragment,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.fragment:fragment:1.0.0
Android Support Library Interpolators,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.interpolator:interpolator:1.0.0
Android Support Library loader,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.loader:loader:1.0.0
Android Support Library Local Broadcast Manager,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.localbroadcastmanager:localbroadcastmanager:1.0.0
Android Support Library Print,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.print:print:1.0.0
Android Support Library Sliding Pane Layout,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.slidingpanelayout:slidingpanelayout:1.0.0
Android Support Library View Pager,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.viewpager:viewpager:1.0.0
IntelliJ IDEA Annotations,A set of annotations used for code inspection support and code documentation.,13.0,JetBrains Team,http://www.jetbrains.org,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains:annotations:13.0
Kotlin Stdlib,Kotlin Standard Library for JVM,1.6.21,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib:1.6.21
Kotlin Stdlib Common,Kotlin Common Standard Library,1.6.21,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-common:1.6.21
Kotlin Stdlib Jdk7,Kotlin Standard Library JDK 7 extension,1.6.21,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.6.21
Kotlin Stdlib Jdk8,Kotlin Standard Library JDK 8 extension,1.6.21,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.6.21
kotlinx-coroutines-android,Coroutines support libraries for Kotlin,1.6.3,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,null,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-android:1.6.3
kotlinx-coroutines-core,Coroutines support libraries for Kotlin,1.6.3,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,null,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.6.3
play-services-base,null,18.0.1,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-base:18.0.1
play-services-basement,null,18.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-basement:18.0.0
play-services-location,null,20.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-location:20.0.0
play-services-tasks,null,18.0.1,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-tasks:18.0.1
VersionedParcelable,Provides a stable but relatively compact binary serialization format that can be passed across processes or persisted safely.,1.1.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.versionedparcelable:versionedparcelable:1.1.0